"","iati.identifier","hierarchy","last.updated.datetime","default.language","reporting.org","reporting.org.ref","reporting.org.type","reporting.org.type.code","title","description","activity.status.code","start.planned","end.planned","start.actual","end.actual","participating.org..Accountable.","participating.org.ref..Accountable.","participating.org.type..Accountable.","participating.org.type.code..Accountable.","participating.org..Funding.","participating.org.ref..Funding.","participating.org.type..Funding.","participating.org.type.code..Funding.","participating.org..Extending.","participating.org.ref..Extending.","participating.org.type..Extending.","participating.org.type.code..Extending.","participating.org..Implementing.","participating.org.ref..Implementing.","participating.org.type..Implementing.","participating.org.type.code..Implementing.","recipient.country.code","recipient.country","recipient.country.percentage","recipient.region.code","recipient.region","recipient.region.percentage","sector.code","sector","sector.percentage","sector.vocabulary","sector.vocabulary.code","collaboration.type.code","default.finance.type.code","default.flow.type.code","default.aid.type.code","default.tied.status.code","default.currency","currency","total.Commitment","total.Disbursement","total.Expenditure","total.Incoming.Funds","total.Interest.Repayment","total.Loan.Repayment","total.Reimbursement"
"11","GB-CHC-274467-HH00GF00-REB001-R-2315-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Regular Appeals","Individual donations","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"Other Public Sector",15,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","",0,"0","0","58",0,0,0
"12","GB-CHC-274467-HH00NS00-REB003-R-2100-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Business",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","13438",0,0,0
"13","GB-CHC-274467-HH00NS00-REB009-R-2113-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","205",0,0,0
"14","GB-CHC-274467-IN0G02177-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","150",0,0,0
"15","GB-CHC-274467-IN0G03173-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","400",0,0,0
"16","GB-CHC-274467-IN0G03224-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","5",0,0,0
"17","GB-CHC-274467-IN0G05220-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","150",0,0,0
"18","GB-CHC-274467-IN0G11196-REB008-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","10",0,0,0
"19","GB-CHC-274467-IN0G12171-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","410",0,0,0
"20","GB-CHC-274467-IN0G14172-REB008-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","80",0,0,0
"21","GB-CHC-274467-IN0G14178-REB009-R-2112-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","184",0,0,0
"22","GB-CHC-274467-XH0D0000-REB007-R-2315-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Regular Appeals","Individual donations","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"Other Public Sector",15,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","",0,"0","0","26",0,0,0
"23","GB-CHC-274467-XIN0D11000-REB007-R-2510-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Trusts","Funds provided by Trusts and Foundations","3","2012-04-16","2013-04-15","","","",NA,NA,NA,"Trusts",NA,"National NGO",22,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","-1510",0,0,0
"24","GB-CHC-274467-XIN0R09001-REB007-R-2310-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Regular Appeals","Regular Appeals","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"Other Public Sector",15,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","",0,"0","0","9",0,0,0
"25","GB-CHC-274467-XIN0R09001-REB007-R-2315-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Regular Appeals","Individual donations","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"Other Public Sector",15,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","",0,"0","0","81",0,0,0
"26","GB-CHC-274467-XIN0R12000-REB007-R-2315-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Regular Appeals","Individual donations","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"Other Public Sector",15,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","",0,"0","0","180",0,0,0
"27","GB-CHC-274467-XIN0Z10003-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2011-11-01","2012-10-31","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","37373",0,0,0
"28","GB-CHC-274467-XIN0Z11001-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2011-05-01","2012-04-30","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","49775",0,0,0
"29","GB-CHC-274467-XIN0Z11004-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2011-11-01","2012-04-30","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","28206",0,0,0
"30","GB-CHC-274467-XIN0Z12001-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2012-05-01","2012-12-31","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","29827",0,0,0
"31","GB-CHC-274467-XIN0Z12002-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2012-08-15","2013-02-14","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","134229",0,0,0
"32","GB-CHC-274467-XIN0Z13000-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2012-11-01","2013-10-31","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","185944",0,0,0
"33","GB-CHC-274467-XIN0Z13001-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","129627",0,0,0
"34","GB-CHC-274467-XIN0Z13002-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","2","2013-11-15","2014-09-14","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","835003",0,0,0
"35","GB-CHC-274467-XIZ0D13001-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","3","2013-07-08","2013-09-30","","","",NA,NA,NA,"DFID",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","100000",0,0,0
"36","GB-CHC-274467-XUK0Z13001-REB007-R-2560-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Governments and EU","Government Grants/Funding","2","2013-02-01","2014-07-31","","","",NA,NA,NA,"ECHO",NA,"Government",10,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","7629",0,0,0
"37","NL-KVK-27264198-TM12IND-PJ-00033",NA,"2014-12-02 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Empowering the communities facing multiple marginalisation to promote social inclusion","Empowering the communities facing multiple marginalisation to promote social inclusion","2","2009-01-02","2014-01-03","","","",NA,NA,NA,"DFID",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,NA,"",NA,"GBP","GBP",5960120,"2060213","2442315","2452921",0,0,0
"38","GB-COH-1100897-GPAF1",1,"2015-09-10 00:00:00","en","Aga Khan Foundation (United Kingdom)","GB-COH-1100897","International NGO","21","Reducing Infant Mortality in Bihar Through Optimal Infant Feeding Practices"", India","The project aims to reduce neonatal and infant mortality through improving healthy breastfeeding and weaning practices among 400,000 mothers of children under two years among the poorest and most marginalised communities in three districts of Bihar, India.","2",NA,NA,"2012-04-01","2015-03-31",NA,NA,NA,NA,"DFID",NA,NA,NA,"AKF(UK)",NA,NA,NA,"AKF India",NA,NA,NA,"IN","India",NA,NA,NA,NA,"12220","Basic health care",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,NA,NA,"GBP","!Mixed currency",0,"!Mixed currency","0","!Mixed currency",0,0,0
"39","NL-KVK-27327087-6553-2094",1,"2015-10-07 00:00:00","en","Akvo Foundation","NL-KVK-27327087","National NGO","22","WSP India","Mobile-to-Web Monitoring System to Track Rural Sanitation & Water Outcomes","2","2011-11-11","2015-11-11","2011-11-11",NA,"Akvo Foundation","NL-KVK-27327087","National NGO",22,"Water and Sanitation Program",NA,"National NGO",22,NA,NA,NA,NA,NA,NA,NA,NA,"IN","India",NA,NA,NA,NA,"22040","Information and communication technology (ICT)","100",NA,NA,NA,NA,NA,NA,NA,"EUR",NA,0,"0","0","26505",0,0,0
"40","NL-KVK-27248417-1589",NA,NA,"en","Aqua for All","NL-KVK-27248417",NA,NA,"Clean Water, Conserve Water in Moradabad","Right to clean water","1","2013-08-01","2014-07-31",NA,NA,"Aqua for All","NL-KVK-27248417",NA,NA,"Savitridevi Shivnarain Gupta Foundation",NA,NA,NA,"Walking for Water International 2015",NA,NA,NA,NA,NA,NA,NA,"IN","India",NA,NA,NA,NA,"140",NA,NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,NA,NA,"EUR",NA,0,"0","0","0",0,0,0
"41","46004-29466-023-LN2293",1,"2015-09-30 00:00:00","en","Asian Development Bank",NA,"Multilateral","40","KOLKATA ENVIRONMENTAL IMPROVEMENT PROJECT","The supplementary loan will support KMC in achieving the scope and objectives of the original Project. The Project will continue to: (i) improve the environmental conditions in the outer areas of Kolkata; (ii) reduce poverty in the low-income areas through affordable access to basic urban services; (iii) facilitate community empowerment through participatory processes; (iv) protect the environment from adverse developmental impacts; and (v) help KMC develop as a proficient and autonomous municipality. The Project will contribute to achieving the targets of Millennium Development Goal.","3","2007-02-21","2013-06-30","2007-02-21","2013-11-13","Kolkata Municipal Corp & Irrigtion & Watrways Dept","LN2293",NA,NA,"Asian Development Bank","46004","Multilateral",40,NA,NA,NA,NA,"Kolkata Municipal Corp & Irrigtion & Watrways Dept","LN2293",NA,NA,"IN","India",NA,NA,NA,NA,NA,NA,NA,"Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.","RO",2,"411",10,"C01","5","USD",NA,8e+07,"79062443.34","0","0",3929841.8,10816533.19,0
"42","46004-32254-023-LN2456",1,"2015-09-30 00:00:00","en","Asian Development Bank",NA,"Multilateral","40","URBAN WATER SUPPLY & ENVIRONMENTAL IMPROVEMENT IN MP PROJ-SUP","To help the government of Madhya Pradesh achieve the goal of sustainable economic growth and poverty reduction in the largest cities of Madhya Pradesh, ADB approved an initial loan for financing the project for $200 million in December 2003. The original project would achieve the goal by(i) reducing the vulnerability of people to environmental degradation, poverty, and natural hazards; and (ii) increasing economic opportunities in the largest cities through improving (a) water supply services, (b) sewerage and sanitation services, (c) storm-water drainage, (d) solidwaste management services, and (e) slums and poor settlements. The supplementary loan is to provide additional financing to the original project.","3","2008-11-10","2013-12-31","2008-11-10","2014-06-24","Urban Admin and Devt Dept, Govt of Madhya Pradesh","LN2456",NA,NA,"Asian Development Bank","46004","Multilateral",40,NA,NA,NA,NA,"Urban Admin and Devt Dept, Govt of Madhya Pradesh","LN2456",NA,NA,"IN","India",NA,NA,NA,NA,NA,NA,NA,"Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.","RO",2,"411",10,"C01","5","USD",NA,7.1e+07,"51579442.07","0","0",1125539.14,4207014.36,0
