aid,title,reporting,commitment,spend,currency
46004-41626-013-LN2681,BIHAR POWER SYSTEM IMPROVEMENT PROJECT,Asian Development Bank,132200000,38207730,USD
XM-DAC-701-8-2013003083,Tamil Nadu Investment Promotion Program,Japan - Japan International Cooperation Agency (JICA),130298624,0,USD
GB-1-108000-101,MULTILATORGANISATION and P0053 for DFID UNICEF Strategic Partnership in India,UK - Department for International Development (DFID),130271800,142529588,USD
46004-36330-033-LN3108,MFF:RAILWAY SECTOR INVESTMENT PROGRAM-TRANCHE2,Asian Development Bank,130000000,45358863,USD
44000-P102330,IN: North East Rural Livelihoods Project,The World Bank,130000000,5905993,USD
46004-37066-043-LN2445,MFF-RURAL ROADS SECTOR II INVESTMENT PROGRAM-PROJECT 3,Asian Development Bank,130000000,121730000,USD
GB-1-107891-101,NONBUDSUPPFINAID and P0053 for West Bengal : Kolkata Urban Services for the Poor,UK - Department for International Development (DFID),127597287,144118493,USD
46004-37143-033-LN3073,MFF:NORTH EASTERN STATE ROADS INVESTMENT PROGRAM - PROJECT 2,Asian Development Bank,125200000,0,USD
44000-P101650,IN: A. P. RWSS,The World Bank,125034608,64074733,USD
DAC-1601-OPP469,PATH,Bill & Melinda Gates Foundation,124864000,124864000,USD
46004-38254-043-LN2638,MFF-N.KARNATAKA URBAN SECTOR INVESTMENT PROGRAM-TRANCHE 2,Asian Development Bank,122999999,68715589,USD
44000-P102329,IN: Rajasthan Rural Livelihoods Project,The World Bank,122836020,28085962,USD
44000-P131235,IN: Uttarakahand Decen Watershed Dev II,The World Bank,121200000,2837072,USD
44000-P078832,IN: Karnataka Panchayats Strengthening,The World Bank,120000000,127057445,USD
XM-DAC-918-3-20140145-84333,SBI LOAN FOR SMES AND MID-CAPS C,European Investment Bank,115983337,0,USD
46004-43464-023-LN2794,HIMACHAL PRADESH CLEAN ENERGY TRNSMISSION INVSTMNT PRGRM-TRANCHE1,Asian Development Bank,113000000,32872425,USD
46004-43464-026-LN3001,HIMACHAL PRADESH CLEAN ENERGY TRANSMISSION INVESTMENT PROGRAM - TRANCHE 2,Asian Development Bank,110000000,11000000,USD
46004-41116-033-LN2925,JAMMU,Asian Development Bank,109999999,17152888,USD
44000-P124614,IN: Rajasthan ACP,The World Bank,109000000,1106013,USD
44000-P145778,Mizoram State Roads II- Reg Connectivity,The World Bank,107000000,3757807,USD
GB-1-114506-102,Bihar Nutrition and Health Sector Support Programme,UK - Department for International Development (DFID),106969207,85722093,USD
46004-32298-023-LN2323,MFF-MADHYA PRADESH POWER SECTOR INVESTMENT PROGRAM-PROJECT 1,Asian Development Bank,106000000,97265154,USD
44000-P121731,IN: ICDS Syst Strength,The World Bank,106000000,4189654,USD
44000-P040610,IN: RAJ WSRP,The World Bank,105337171,130512819,USD
XM-DAC-701-8-2014003044,Uttarakhand Forest Resource Management Project,Japan - Japan International Cooperation Agency (JICA),105260896,0,USD
44000-P110371,IN: Sustainable Urban Transport Project,The World Bank,105230000,38003298,USD
EU-1-2013%2F311-311,Budget Support Component of the Sector Policy Support Programme for Elementary and Secondary Education in India,European Commission - Development and Cooperation-EuropeAid,104959367,67562448,USD
44000-P102331,IN: MPDPIP-II,The World Bank,100000000,91355540,USD
44000-P119039,IN: Low-Income Housing Finance,The World Bank,100000000,10549865,USD
44000-P120836,IN: Maharashtra Agric. Competitiveness,The World Bank,100000000,40749093,USD
44000-P124041,IN: HP DPL Green Growth,The World Bank,100000000,100000000,USD
44000-P148604,Accelerating Universal Access to TB Care,The World Bank,100000000,6798691,USD
46004-34420-023-LN2527,NATIONAL HIGHWAY CORRIDOR (SECTOR) 1 PROJECT (SUPPLEMENTARY),Asian Development Bank,100000000,100000000,USD
46004-36308-023-LN2442,ASSAM GOVERNANCE,Asian Development Bank,100000000,100000000,USD
46004-38272-033-LN2797,MFF-UTTARAKHAND URBAN SECTOR DEV'T INVESTMENT PROGRAM-TRANCHE2,Asian Development Bank,100000000,15458969,USD
46004-42266-023-LN3053,MFF:KOLKATA ENVIRONMENTAL IMPROVEMENT INVESTMENT PROGRAM-TRANCHE,Asian Development Bank,100000000,6400842,USD
46004-44431-013-LN2778,GUJARAT SOLAR POWER TRANSMISSION PROJECT,Asian Development Bank,100000000,42143914,USD
46004-46166-001-LN3033,SUPPORTING HUMAN CAPITAL DEVELOPMENT IN MEGHALAYA,Asian Development Bank,100000000,6694659,USD
47134-XCTFIN206A,Himachal Pradesh Environmentally Sustainable Development Policy Loan,Climate Investment Funds-Clean Technology Fund,100000000,0,USD
46004-47334-002-LN3188,SUPPORTING KERALA'S ADDITIONAL SKILL ACQUISITION PROGRAM IN POST-BASIC EDUCATION,Asian Development Bank,99999999,20000000,USD
GB-1-114487-102,Support Towards Infrastructure on SSA II,UK - Department for International Development (DFID),97272079,76923238,USD
44000-P093720,IN: Mid-Himalayan (HP) Watersheds,The World Bank,97000000,78078446,USD
46004-41607-013-LN2536,MIZORAM PUBLIC RESOURCE MANAGEMENT PROGRAM,Asian Development Bank,94000000,94000000,USD
44000-P084632,IN: Hydrology II,The World Bank,91578784,91578784,USD
GB-1-114506-106,Bihar Nutrition and Health Sector Support Programme,UK - Department for International Development (DFID),91121917,73421843,USD
GB-1-108069-101,MULTILATORGANISATION and P0053 for DFID support to WHO for TA,UK - Department for International Development (DFID),90300603,88013328,USD
46004-32298-053-LN2347,MFF-MADHYA PRADESH POWER SECTOR INVESTMENT PROGRAM-TRANCHE 4,Asian Development Bank,90000000,74159198,USD
47122-1014-IND-04C-X,New vaccine support (NVS) for PENTA,GAVI Alliance,89983658,81580756,USD
46004-41614-033-LN2677,MFF-ASSAM POWER SECTOR ENHANCEMENT INVESTMENT PROGRAM-TRANCHE2,Asian Development Bank,89700000,45278652,USD
GB-1-114506-101,Procurement of Services for Bihar Nutrition and Health Programme,UK - Department for International Development (DFID),87943557,39651573,USD
GB-1-113617-101,NONBUDSUPPFINAID and P0053 for Madhya Pradesh Rural Livelihoods Project - Phase 2,UK - Department for International Development (DFID),85033940,67022272,USD
44000-P102627,IN: Bihar PRI,The World Bank,84000000,438579,USD
44000-P118826,IN: Bihar Social Protection,The World Bank,84000000,195615,USD
47045-IDA-202-G03-T-00,Expansion of the revised national tuberculosis control program to the,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",83624067,147769242,USD
44000-P093478,IN: Orissa Rural Livelihoods Project,The World Bank,82400000,68373392,USD
46004-42265-023-LN2806,ASSAM URBAN INFRASTRUCTURE INVESTMENT PROJECT-TRANCHE 1,Asian Development Bank,81000000,5371234,USD
46004-29466-023-LN2293,KOLKATA ENVIRONMENTAL IMPROVEMENT PROJECT,Asian Development Bank,80000000,79062443,USD
47122-1316-IND-10D-Y,Health system strengthening (HSS),GAVI Alliance,79710000,41090000,USD
44000-P100789,IN: Andhra Pradesh and Telangana State C,The World Bank,79516458,143194482,USD
47045-IDA-607-G11-H,Expanding Access to Anti-Retroviral Treatment,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",78647358,152462283,USD
46004-41598-023-LN2660,MFF -National Capital Region Urban Infrastructure Financing Facility -Tranche 1,Asian Development Bank,78000000,59999999,USD
46004-37066-033-LN2414,MFF: Rural Roads Sector II Investment Program - Project 2,Asian Development Bank,77650000,38094813,USD
46004-39630-034-LN2823,NATIONAL POWER GRID DEVELOPMENT INVESTMENT PROGRAM-TRANCHE 3,Asian Development Bank,76000000,51000000,USD
GB-1-107907-101,GENBUDGETSUPPORT and P0053 for Andhra Pradesh Health Sector Reform Programme (APHSRP),UK - Department for International Development (DFID),75456344,66821008,USD
44000-P143608,IN: Telangana Rural Inclusive Growth Pr,The World Bank,75000000,0,USD
44000-P152210,Andhra Pradesh Rural Inclusive Growth Pr,The World Bank,75000000,0,USD
46004-43253-025-LN3148,KARNATAKA INTEGRATED URBAN WATER MANAGEMENT INVESTMENT PROGRAM - TRANCHE 1,Asian Development Bank,75000000,2144781,USD
46004-37143-023-LN2770,NORTH EASTERN STATE ROADS INVESTMENT PROGRAM-TRANCHE 1,Asian Development Bank,74800000,5825913,USD
XM-DAC-918-3-20140145-83512,SBI LOAN FOR SMES AND MID-CAPS,European Investment Bank,74757878,0,USD
XM-DAC-701-8-2012003023,West Bengal Forest and Biodiversity Conservation Project,Japan - Japan International Cooperation Agency (JICA),73149843,0,USD
CA-3-S065022001,Partnership for Advancing Human Development in Africa and Asia,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",72953946,43358241,USD
46004-35290-033-LN2834,MFF-NORTH EASTERN REGION CAPITAL CITIES DEVT INVESTMENT PROG-TR2,Asian Development Bank,72000000,13761828,USD
46004-32254-023-LN2456,URBAN WATER SUPPLY,Asian Development Bank,71000000,51579442,USD
GB-1-114158-101,Financial Aid to MAHILA SAMAKHYA,UK - Department for International Development (DFID),69469570,53560062,USD
46004-32298-073-LN2732,MFF-MADHYA PRADESH POWER SECTOR INVESTMENT PROGRAM-T6,Asian Development Bank,69000000,55354869,USD
XM-DAC-701-8-2013003081,Mumbai Metro Line 3 Project,Japan - Japan International Cooperation Agency (JICA),68145783,0,USD
46004-37091-023-LN2669,MFF-AGRIBUSINESS INFRASTRUCTURE DEV'T. INVESTMENT PROG-TRANCHE1,Asian Development Bank,67600000,0,USD
44000-P100735,IN:Orissa Community Tank Management Proj,The World Bank,66930374,33759900,USD
46004-41603-023-LN2861,BIHAR URBAN DEVELOPMENT INVESTMENT PROGRAM- TRANCHE 1,Asian Development Bank,65000000,6403085,USD
GB-1-202867-102,India: Affordable Housing in Poor States,UK - Department for International Development (DFID),63699493,30647939,USD
GB-1-113311-101,PROCOFSERVICES and P0053 for Poorest Areas Civil Society Programme  II,UK - Department for International Development (DFID),63639918,34141085,USD
46004-38254-063-LN3088,NORTH KARNATAKA URBAN SECTOR INVESTMENT PROGRAM-TRANCHE 4,Asian Development Bank,63300000,8234948,USD
46004-40031-053-LN2725,MFF-RAJASTHAN URBAN SECTOR DEVELOPMENT INVESTMENT PROGRAM-TRANCHE,Asian Development Bank,62999999,36189884,USD
46004-37139-033-LN2498,MFF-UTTARAKHAND POWER SECTOR INVESTMENT PROGRAM-PROJECT 2,Asian Development Bank,62400000,5235831,USD
46004-45224-003-LN3052,RAJASTHAN RENEWABLE ENERGY TRANSMISSION INVESTMENT PROGRAM - TRANCHE 1,Asian Development Bank,62000000,2855671,USD
44000-P096019,IN: HP State Roads Project,The World Bank,61699999,191036414,USD
GB-1-114040-102,Support Programme for Urban Reforms in Bihar,UK - Department for International Development (DFID),61641805,48075096,USD
46004-41614-023-LN2592,MFF-ASSAM POWER SECTOR ENHANCEMENT INVESTMENT PROGRAM-PROJ1,Asian Development Bank,60300000,37550399,USD
46004-38272-023-LN2410,MFF-UTTARAKHAND URBAN SECTOR DEV'T INVESTMENT PROGRAM-PROJECT1,Asian Development Bank,60000000,39147829,USD
46004-40031-023-LN2366,MFF-RAJASTHAN URBAN SECTOR DEVELOPMENT INVESTMENT PROGRAM-PRJ1,Asian Development Bank,60000000,50020988,USD
46004-41116-043-LN3132,JAMMU AND KASHMIR URBAN SECTOR DEVELOPMENT INVESTMENT PROGRAM - TRANCHE 3,Asian Development Bank,60000000,4537484,USD
44000-P122486,IN: Karn Wtrshed II,The World Bank,59999999,2787358,USD
