PROJECT_ID,PROJECT_DESCR,PROJECT_LOCATIONS_COUNT,PARTNER_DESCR,PointName,POINT_PROJECTS_COUNT,PointType,lat,lng,GeoPrecisionDescr,COUNTRY,ADM1,ADM2,ADM3,LOCALITY,SUB_LOCALITY,NEIGHBOURHOOD
94441,00094441 Technical Support for ICT Security,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94443,"00094443 Technical Support for Reporting, Business Intelligence and Data Management",4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94444,00094444 Technical Support for Field Support Suite and Transactional Systems – Development and Maintenance,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94446,00094446 Technical Support for Content Management Systems and Non-transactional Solutions – Development and Maintenance,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94448,00094448 Technical Support for Transitioning Implementation & Quality Management,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
80585,00080585 Human Resource Services to Millennium Promise and Millennium Cities Initiative,2,Millennium Promise,Sauri Village,1,marker,0.0731028,34.4918988,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,Nyanza,Siaya,,,,
91333,00091333 Preparatory Assistance to UNDP for the Devolution Assessment in Kisumu County Kenya,1,United Nations Children's Fund (UNICEF),Kisumu,2,marker,-0.0917016,34.7679568,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Nyanza,Kisumu,,Kisumu,Kisumu,
91333,00091333 Preparatory Assistance to UNDP for the Devolution Assessment in Kisumu County Kenya,1,United Nations Environment Programme (UNEP),Kisumu,2,marker,-0.0917016,34.7679568,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Nyanza,Kisumu,,Kisumu,Kisumu,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Kisumu,2,marker,-0.0917016,34.7679568,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Nyanza,Kisumu,,Kisumu,Kisumu,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Environment Programme (UNEP),Kisumu,2,marker,-0.0917016,34.7679568,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Nyanza,Kisumu,,Kisumu,Kisumu,
95597,00095597 Support to Millennium Villages Projects from the Government of Japan,4,Executive Office of the Secretary-General (EOSG),Bar Sauri Road,1,marker,0.114115,34.5211834,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Siaya,,,,,
83273,00083273 Implementing Integrated Water Resource and Wastewater Management in Atlantic and Indian Ocean Small Island Developing States (SIDS),6,UNDP Multi Partner Trust Funds,São Tomé and Príncipe,2,marker,0.18636,6.613081,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Sao Tome and Principe,,,,,,
83273,00083273 Implementing Integrated Water Resource and Wastewater Management in Atlantic and Indian Ocean Small Island Developing States (SIDS),6,United Nations Environment Programme (UNEP),São Tomé and Príncipe,2,marker,0.18636,6.613081,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Sao Tome and Principe,,,,,,
82958,00082958 Implementing Integrated Water Resource and Wastewater Management in Atlantic and Indian Ocean Small Island and Developing States (SIDS),6,UNDP Multi Partner Trust Funds,São Tomé and Príncipe,2,marker,0.18636,6.613081,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Sao Tome and Principe,,,,,,
82958,00082958 Implementing Integrated Water Resource and Wastewater Management in Atlantic and Indian Ocean Small Island and Developing States (SIDS),6,United Nations Environment Programme (UNEP),São Tomé and Príncipe,2,marker,0.18636,6.613081,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Sao Tome and Principe,,,,,,
95039,00095039 Transactional procurement support to the Government of the Republic of Congo for the acquisition of ten (10) four-wheel drives and ten (10) motorcycles,1,World Bank,Congo,1,marker,-0.228021,15.827659,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Congo,,,,,,
94400,00094400 Support to Millennium Villages Projects from the Government of Japan,4,Executive Office of the Secretary-General (EOSG),Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
94400,00094400 Support to Millennium Villages Projects from the Government of Japan,4,Millennium Promise,Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
95597,00095597 Support to Millennium Villages Projects from the Government of Japan,4,Executive Office of the Secretary-General (EOSG),Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
95597,00095597 Support to Millennium Villages Projects from the Government of Japan,4,Millennium Promise,Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
89653,00089653 Support to Millennium Villages Projects from the Government of Japan,4,Executive Office of the Secretary-General (EOSG),Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
89653,00089653 Support to Millennium Villages Projects from the Government of Japan,4,Millennium Promise,Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
80585,00080585 Human Resource Services to Millennium Promise and Millennium Cities Initiative,2,Executive Office of the Secretary-General (EOSG),Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
80585,00080585 Human Resource Services to Millennium Promise and Millennium Cities Initiative,2,Millennium Promise,Dertu Village,4,marker,0.2737238,39.8022652,"The location is mentioned in the source as being “near”, in the “area” of, or up to 25 km away from an exact location.  The coordinates refer to that adjacent, exact, location.",Kenya,North Eastern,Garissa,,,,
96266,00096266 Support to UNICEF for reducing maternal and neonatal deaths in Kenya,6,United Nations Children's Fund (UNICEF),Kakamega,1,marker,0.2827307,34.7518631,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Kenya,Kakamega,,,Kakamega,,
79220,"00079220 Integrated Climate-Resilient Water Supply and Management Systems in Ihavandhoo, Mahibadhoo and Gadhdboo in the Maldives",3,UNDP Joint Programme,Gadhdhoo,1,marker,0.2888652,73.4555875,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Maldives,Upper South Province,Gaafu Dhaalu Atoll,,Gadhdhoo,,
79220,"00079220 Integrated Climate-Resilient Water Supply and Management Systems in Ihavandhoo, Mahibadhoo and Gadhdboo in the Maldives",3,UNDP Multi Partner Trust Funds,Gadhdhoo,1,marker,0.2888652,73.4555875,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Maldives,Upper South Province,Gaafu Dhaalu Atoll,,Gadhdhoo,,
87060,00087060 Support to UNODC Anti Piracy Activities,4,United Nations Office on Drugs and Crime (UNODC) ,Nakuru,1,marker,-0.3030988,36.080026,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Kenya,Nakuru,,,Nakuru,,
93010,00093010 Police Headquarter Facilities Project in Somalia,4,United Nations Development Group (UNDG),Kismayo,2,marker,-0.358056,42.545278,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Somalia,Jubbada Hoose,,,Kismayo,,
93010,00093010 Police Headquarter Facilities Project in Somalia,4,United Kingdom of Great Britain and Northern Ireland (UK),Kismayo,2,marker,-0.358056,42.545278,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Somalia,Jubbada Hoose,,,Kismayo,,
91178,00091178 Preparatory Assistance to UNDP for the Devolution Assessment in Kisumu County Kenya,3,United Nations Development Group (UNDG),Kismayo,2,marker,-0.358056,42.545278,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Somalia,Jubbada Hoose,,,Kismayo,,
91178,00091178 Preparatory Assistance to UNDP for the Devolution Assessment in Kisumu County Kenya,3,United Kingdom of Great Britain and Northern Ireland (UK),Kismayo,2,marker,-0.358056,42.545278,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Somalia,Jubbada Hoose,,,Kismayo,,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Laikipia District,1,marker,0.3771387,36.7884431,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Rift Valley,Laikipia District,,,,
87060,00087060 Support to UNODC Anti Piracy Activities,4,United Nations Office on Drugs and Crime (UNODC) ,Nyeri,1,marker,-0.416876,36.950981,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Kenya,Nyeri,,,Nyeri,,
96266,00096266 Support to UNICEF for reducing maternal and neonatal deaths in Kenya,6,United Nations Children's Fund (UNICEF),Garissa,2,marker,-0.4532293,39.6460988,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,North Eastern,Garissa,,Garissa,,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Garissa,2,marker,-0.4532293,39.6460988,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,North Eastern,Garissa,,Garissa,,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Nakuru,1,marker,-0.5467325,36.1762615,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Rift Valley,Nakuru,,,,
90796,00090796 Rehabilitation of health centres in DRC,6,Democratic Republic of the Congo,Equator,1,marker,0.5640036,20.3308814,"The location is within a first order administrative division (ADM1), such as a province, state or governorate, but the location within the ADM1 is unknown.",Democratic Republic of the Congo,Equator,,,,,
77040,00077040 Projet D’Appui a la Rehabilitation et a la Relance du Secteur Agricole (PARRSA),1,World Bank,Equateur,1,marker,0.5693591,18.8076195,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Democratic Republic of the Congo,Equator,Equateur,,,,
96266,00096266 Support to UNICEF for reducing maternal and neonatal deaths in Kenya,6,United Nations Children's Fund (UNICEF),Bungoma,1,marker,0.5695252,34.5583766,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Kenya,Bungoma,,,Bungoma,,
96266,00096266 Support to UNICEF for reducing maternal and neonatal deaths in Kenya,6,United Nations Children's Fund (UNICEF),Homa Bay,1,marker,-0.6220655,34.3310364,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Kenya,Homa Bay,,,,,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Isiolo District,1,marker,0.7096491,38.5065895,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,Eastern,Isiolo District,,,,
87060,00087060 Support to UNODC Anti Piracy Activities,4,United Nations Office on Drugs and Crime (UNODC) ,Naivasha,1,marker,-0.7202361,36.4285306,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",Kenya,Nakuru,,,Naivasha,,
89686,00089686 UNEP activities on REDD+ in a Green Economy in Indonesia,1,UNDP Multi Partner Trust Funds,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
89686,00089686 UNEP activities on REDD+ in a Green Economy in Indonesia,1,Office of the United Nations High Commissioner for Refugees (UNHCR),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
89686,00089686 UNEP activities on REDD+ in a Green Economy in Indonesia,1,United Nations Environment Programme (UNEP),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
89686,00089686 UNEP activities on REDD+ in a Green Economy in Indonesia,1,Germany,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
94260,00094260 Implementation Support to 'UNOCHA-WFP Response Preparedness in High-Risk Countries' project,5,UNDP Multi Partner Trust Funds,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
94260,00094260 Implementation Support to 'UNOCHA-WFP Response Preparedness in High-Risk Countries' project,5,Office of the United Nations High Commissioner for Refugees (UNHCR),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
94260,00094260 Implementation Support to 'UNOCHA-WFP Response Preparedness in High-Risk Countries' project,5,United Nations Environment Programme (UNEP),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
94260,00094260 Implementation Support to 'UNOCHA-WFP Response Preparedness in High-Risk Countries' project,5,Germany,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,UNDP Multi Partner Trust Funds,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,Office of the United Nations High Commissioner for Refugees (UNHCR),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,United Nations Environment Programme (UNEP),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,Germany,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
75606,00075606 Recruitment of Project Staff for UNHCR in Indonesia,1,UNDP Multi Partner Trust Funds,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
75606,00075606 Recruitment of Project Staff for UNHCR in Indonesia,1,Office of the United Nations High Commissioner for Refugees (UNHCR),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
75606,00075606 Recruitment of Project Staff for UNHCR in Indonesia,1,United Nations Environment Programme (UNEP),Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
75606,00075606 Recruitment of Project Staff for UNHCR in Indonesia,1,Germany,Indonesia,4,marker,-0.789275,113.921327,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Indonesia,Central Borneo,,,,,
94107,"00094107 Risk Education and Reporting in Katanga and North Kivu, DR Congo with funding from the Central Emergency Response Fund (CERF)",2,Office for the Coordination of Humanitarian Affairs (OCHA),North-Kivu,2,marker,-0.7917729,29.0459927,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Democratic Republic of the Congo,North-Kivu,,,,,
94107,"00094107 Risk Education and Reporting in Katanga and North Kivu, DR Congo with funding from the Central Emergency Response Fund (CERF)",2,Peacekeeping Operations (DPKO),North-Kivu,2,marker,-0.7917729,29.0459927,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Democratic Republic of the Congo,North-Kivu,,,,,
94484,00094484 Supporting Peace Consolidation and Stability in the Democratic Republic of the Congo through Humanitarian Mine Action,4,Office for the Coordination of Humanitarian Affairs (OCHA),North-Kivu,2,marker,-0.7917729,29.0459927,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Democratic Republic of the Congo,North-Kivu,,,,,
94484,00094484 Supporting Peace Consolidation and Stability in the Democratic Republic of the Congo through Humanitarian Mine Action,4,Peacekeeping Operations (DPKO),North-Kivu,2,marker,-0.7917729,29.0459927,"The location is an entire first order administrative division (ADM1), such as a province, state or governorate.",Democratic Republic of the Congo,North-Kivu,,,,,
