recipient-country-code,recipient-country,recipient-country-percentage,transaction-type,transaction-date,default-currency,transaction-value,transaction_ref,transaction_value_currency,transaction_value_value-date,transaction_provider-org,transaction_provider-org_ref,transaction_provider-org_provider-activity-id,transaction_receiver-org,transaction_receiver-org_ref,transaction_receiver-org_receiver-activity-id,transaction_description,transaction_flow-type_code,transaction_finance-type_code,transaction_aid-type_code,transaction_tied-status_code,transaction_disbursement-channel_code,transaction_recipient-country-code,transaction_recipient-country,transaction_recipient-region-code,transaction_recipient-region,transaction_sector-code,transaction_sector,transaction_sector-vocabulary,transaction_sector-vocabulary-code,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code
IN,India,100,D,1999-12-28,USD,76310.785132,,,1999-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-7400030201-IND-12110,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,SFRV Syd 1999,"Aktiviteten ""SFRV Syd 1999"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1999-01-01,2000-06-28,Svenska kyrkan,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Donor country-based NGO,22000,National NGO,22,,,,12110,Health policy and administrative management,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,100,D,2000-12-28,USD,-7398.219548,,,2000-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-7400030201-IND-12110,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,SFRV Syd 1999,"Aktiviteten ""SFRV Syd 1999"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1999-01-01,2000-06-28,Svenska kyrkan,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Donor country-based NGO,22000,National NGO,22,,,,12110,Health policy and administrative management,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,100,C,1991-07-01,USD,2793218.096104,,,1991-07-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-9900346001-IND-43040,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,"PAHAL, Dungarpur IWDP","Aktiviteten ""PAHAL, Dungarpur IWDP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1991-07-01,2000-07-28,,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Recipient Government,12000,Government,10,,,,43040,Rural development,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,100,D,1998-12-28,USD,1561593.00877,,,1998-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-9900346001-IND-43040,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,"PAHAL, Dungarpur IWDP","Aktiviteten ""PAHAL, Dungarpur IWDP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1991-07-01,2000-07-28,,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Recipient Government,12000,Government,10,,,,43040,Rural development,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,100,D,1999-12-28,USD,235994.819844,,,1999-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-9900346001-IND-43040,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,"PAHAL, Dungarpur IWDP","Aktiviteten ""PAHAL, Dungarpur IWDP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1991-07-01,2000-07-28,,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Recipient Government,12000,Government,10,,,,43040,Rural development,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,100,D,2000-12-28,USD,20993.337772,,,2000-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-9900346001-IND-43040,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,"PAHAL, Dungarpur IWDP","Aktiviteten ""PAHAL, Dungarpur IWDP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1991-07-01,2000-07-28,,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Recipient Government,12000,Government,10,,,,43040,Rural development,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
IN,India,,D,2013-12-31,EUR,80000,,EUR,2013-12-31,ICCO,NL-KVK-41177206,,Grameen Sahara,,,,,,,,2,,,,,,,,,NL-KVK-41177206-C-003269,1,2015-06-22 00:00:00,en,ICCO,NL-KVK-41177206,International NGO,21,Rights of women in conflict and fragile states,"Project background: In its early years, Grameen Sahara ran small-scale agricultural training programs among the tribal communities in Goalpara district of Assam. In 2007 the organization initiated the Golden Weavers’ Project, an Ericulture livelihood project, with support from Sir Dorabji TataTrust. In order to ensure optimum benefits to the community, Grameen Sahara subsequently incorporated an Eri Silk Producer Company in 2011, which is owned and run by the producers themselves. The organization also promotes and implements System of Crop Intensification (SCI) and Diversion Based Irrigation (DBI) in various areas of Assam. Through its microfinance operations, Grameen Sahara currently reaches around 27,000 families in the area. 
Project overview: This project is implemented as part of a new Grameen Sahara program that aims to promote sustainable livelihoods for the poor through the provision of financial services, technical assistance and other development support services in integrated manner. The specific objectives are to: improve the pace and quality of life of the rural and urban poor especially the village and decentralized sector; focus attention on women, children, the historically disadvantaged scheduled castes and scheduled tribes, minorities and other marginalized communities for their economic self-sustenance; create, develop and support self employment avenues for rural and urban youth; build social capital that will be used by and for the community; and optimally utilize all the available natural, social, economic and other resources for the well being of the community. 
Project activities and outputs: The project aims to facilitate the organization of producer groups of women weavers and spinners to address common problems such marketing, publicity, product diversification, skills upgrading. It will also provide capacity development support in the field of design development as well as working capital assistance towards purchase of raw materials. To address the scarcity of cocoons during the lean seasons, Grameen Sahara will also maintain a stock of cocoons to meet the needs of spinners. As a result of these activities, the project aims to contribute to higher and more predictable income for home-based women producers due to increased production and product quality This is expected to enhance the self respect and status of women in the community. By providing a steady supply of cocoons, the project will also help safeguard producers against market price fluctuations.
",2,2013-11-01,2015-10-31,2013-11-01,,,,,,Dutch Ministry of Foreign Affairs,NL-1,Government,10,,,,,Grameen Sahara,,,,,,,700,,100,OECD Development Assistance Committee 3 digit codes,DAC-3,3,110,10,B01,5
IN,India,,D,2014-12-31,EUR,50000,,EUR,2014-12-31,ICCO,NL-KVK-41177206,,Grameen Sahara,,,,,,,,2,,,,,,,,,NL-KVK-41177206-C-003269,1,2015-06-22 00:00:00,en,ICCO,NL-KVK-41177206,International NGO,21,Rights of women in conflict and fragile states,"Project background: In its early years, Grameen Sahara ran small-scale agricultural training programs among the tribal communities in Goalpara district of Assam. In 2007 the organization initiated the Golden Weavers’ Project, an Ericulture livelihood project, with support from Sir Dorabji TataTrust. In order to ensure optimum benefits to the community, Grameen Sahara subsequently incorporated an Eri Silk Producer Company in 2011, which is owned and run by the producers themselves. The organization also promotes and implements System of Crop Intensification (SCI) and Diversion Based Irrigation (DBI) in various areas of Assam. Through its microfinance operations, Grameen Sahara currently reaches around 27,000 families in the area. 
Project overview: This project is implemented as part of a new Grameen Sahara program that aims to promote sustainable livelihoods for the poor through the provision of financial services, technical assistance and other development support services in integrated manner. The specific objectives are to: improve the pace and quality of life of the rural and urban poor especially the village and decentralized sector; focus attention on women, children, the historically disadvantaged scheduled castes and scheduled tribes, minorities and other marginalized communities for their economic self-sustenance; create, develop and support self employment avenues for rural and urban youth; build social capital that will be used by and for the community; and optimally utilize all the available natural, social, economic and other resources for the well being of the community. 
Project activities and outputs: The project aims to facilitate the organization of producer groups of women weavers and spinners to address common problems such marketing, publicity, product diversification, skills upgrading. It will also provide capacity development support in the field of design development as well as working capital assistance towards purchase of raw materials. To address the scarcity of cocoons during the lean seasons, Grameen Sahara will also maintain a stock of cocoons to meet the needs of spinners. As a result of these activities, the project aims to contribute to higher and more predictable income for home-based women producers due to increased production and product quality This is expected to enhance the self respect and status of women in the community. By providing a steady supply of cocoons, the project will also help safeguard producers against market price fluctuations.
",2,2013-11-01,2015-10-31,2013-11-01,,,,,,Dutch Ministry of Foreign Affairs,NL-1,Government,10,,,,,Grameen Sahara,,,,,,,700,,100,OECD Development Assistance Committee 3 digit codes,DAC-3,3,110,10,B01,5
IN,India,,IF,2013-10-30,EUR,130000,,EUR,2013-10-30,Dutch Ministry of Foreign Affairs,NL-1,NL-1-PPR-22170,ICCO,NL-KVK-41177206,,,,,,,2,,,,,,,,,NL-KVK-41177206-C-003269,1,2015-06-22 00:00:00,en,ICCO,NL-KVK-41177206,International NGO,21,Rights of women in conflict and fragile states,"Project background: In its early years, Grameen Sahara ran small-scale agricultural training programs among the tribal communities in Goalpara district of Assam. In 2007 the organization initiated the Golden Weavers’ Project, an Ericulture livelihood project, with support from Sir Dorabji TataTrust. In order to ensure optimum benefits to the community, Grameen Sahara subsequently incorporated an Eri Silk Producer Company in 2011, which is owned and run by the producers themselves. The organization also promotes and implements System of Crop Intensification (SCI) and Diversion Based Irrigation (DBI) in various areas of Assam. Through its microfinance operations, Grameen Sahara currently reaches around 27,000 families in the area. 
Project overview: This project is implemented as part of a new Grameen Sahara program that aims to promote sustainable livelihoods for the poor through the provision of financial services, technical assistance and other development support services in integrated manner. The specific objectives are to: improve the pace and quality of life of the rural and urban poor especially the village and decentralized sector; focus attention on women, children, the historically disadvantaged scheduled castes and scheduled tribes, minorities and other marginalized communities for their economic self-sustenance; create, develop and support self employment avenues for rural and urban youth; build social capital that will be used by and for the community; and optimally utilize all the available natural, social, economic and other resources for the well being of the community. 
Project activities and outputs: The project aims to facilitate the organization of producer groups of women weavers and spinners to address common problems such marketing, publicity, product diversification, skills upgrading. It will also provide capacity development support in the field of design development as well as working capital assistance towards purchase of raw materials. To address the scarcity of cocoons during the lean seasons, Grameen Sahara will also maintain a stock of cocoons to meet the needs of spinners. As a result of these activities, the project aims to contribute to higher and more predictable income for home-based women producers due to increased production and product quality This is expected to enhance the self respect and status of women in the community. By providing a steady supply of cocoons, the project will also help safeguard producers against market price fluctuations.
",2,2013-11-01,2015-10-31,2013-11-01,,,,,,Dutch Ministry of Foreign Affairs,NL-1,Government,10,,,,,Grameen Sahara,,,,,,,700,,100,OECD Development Assistance Committee 3 digit codes,DAC-3,3,110,10,B01,5
IN,India,100,2,2012-12-31,USD,58586,Commitment,USD,2012-01-01,UNICEF (FOR GR ALLOCATIONS ONLY),,,UNICEF-41122,,2040/A0/04/826/407,"
        ",,,,,,,,,,,,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,2,2012-12-31,USD,79495,Commitment,USD,2012-01-01,The United Kingdom,,,UNICEF-41122,,2040/A0/04/826/407,"
        ",,,,,,,,,,,,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,2,2014-12-31,USD,-922,Commitment,USD,2014-01-01,The United Kingdom,,,UNICEF-41122,,2040/A0/04/826/407,"
        ",,,,,,,,,,,,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,2,2013-12-31,USD,680,Commitment,USD,2013-01-01,The United Kingdom,,,UNICEF-41122,,2040/A0/04/826/407,"
        ",,,,,,,,,,,,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,4,2012-12-31,USD,11496,Expense,USD,2012-12-31,"
        ",,,UNICEF-41122,,,"
        ",,,,,,,,,,12110,Health policy and administrative management,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,4,2012-12-31,USD,130803,Expense,USD,2012-12-31,"
        ",,,UNICEF-41122,,,"
        ",,,,,,,,,,12220,Basic health care,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,4,2013-12-31,USD,1946,Expense,USD,2013-12-31,"
        ",,,UNICEF-41122,,,"
        ",,,,,,,,,,12220,Basic health care,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,100,3,2015-08-31,USD,0,Disbursement,USD,2015-08-31,"
        ",,,UNICEF-41122,,,"
        ",,,,,,,,,,,,,1,41122-India-2040/A0/04/826/407,1,2015-10-06 00:00:00,en,UNICEF,41122,Multilateral,40,IR14-JHK-VHND,IR14-JHK-VHND,1,2012-01-01,2012-12-31,2012-01-01,2012-12-31,,,,,,,,,,,,,,,,,998,"Developing countries, unspecified",100,,,,,,4,110,10,B03,5
IN,India,,D,2014-07-22,EUR,3000,,EUR,2014-07-22,Ministry of Foreign Affairs The Netherlands,,,Centre for Sustainable Agriculture - CSA,,,,,,,,,,,,,,,,,NL-2-1007822,1,2013-12-03 00:00:00,en,HIVOS,NL-KVK-41198677,National NGO,22,Analysing scale up of biodiversity-based farming,"
Centre for Sustainable Agriculture is a professional resource organization engaged in establishing models of sustainable agriculture working in partnership with NGOs and Community Based Organizations by scaling up the successes and engaging with the establishment for a policy change. 

CSA believes in promoting sustainable agricultural technologies that are based on farmers’ knowledge and skills, their innovation based on local conditions and their use of nature’s products and processes to gain better control over the pre-production and production processes involved in agriculture. CSA works with farmers to conserve their resources and their rights.

Great initiatives that build on agricultural biodiversity to increase resilience in farming systems can be found all over the world, but often they do not change things at a larger scale. Why is that? Why don't they make a bigger difference? How can we make sure that they have greater impact? A better understanding is needed of the factors that enable the successful scaling up of positive change for more resilient farming systems.

Developing a conceptual framework and criteria on good practice for agro-biodiversity based resilient farming, identifying cases where such practices have successfully reached scale and analysing their preconditions and impact, can generate insights that can help these solutions to transform from local islands of success into strategies that are transferable to other places and other contexts.
",2,,,2013-12-02,2014-09-01,,,,,,,,,,,,,Centre for Sustainable Agriculture - CSA,,,,,,,311,,100,OECD Development Assistance Committee 3 digit codes,DAC-3,,,,,
IN,India,,D,2014-12-09,EUR,3000,,EUR,2014-12-09,Ministry of Foreign Affairs The Netherlands,,,Centre for Sustainable Agriculture - CSA,,,,,,,,,,,,,,,,,NL-2-1007822,1,2013-12-03 00:00:00,en,HIVOS,NL-KVK-41198677,National NGO,22,Analysing scale up of biodiversity-based farming,"
Centre for Sustainable Agriculture is a professional resource organization engaged in establishing models of sustainable agriculture working in partnership with NGOs and Community Based Organizations by scaling up the successes and engaging with the establishment for a policy change. 

CSA believes in promoting sustainable agricultural technologies that are based on farmers’ knowledge and skills, their innovation based on local conditions and their use of nature’s products and processes to gain better control over the pre-production and production processes involved in agriculture. CSA works with farmers to conserve their resources and their rights.

Great initiatives that build on agricultural biodiversity to increase resilience in farming systems can be found all over the world, but often they do not change things at a larger scale. Why is that? Why don't they make a bigger difference? How can we make sure that they have greater impact? A better understanding is needed of the factors that enable the successful scaling up of positive change for more resilient farming systems.

Developing a conceptual framework and criteria on good practice for agro-biodiversity based resilient farming, identifying cases where such practices have successfully reached scale and analysing their preconditions and impact, can generate insights that can help these solutions to transform from local islands of success into strategies that are transferable to other places and other contexts.
",2,,,2013-12-02,2014-09-01,,,,,,,,,,,,,Centre for Sustainable Agriculture - CSA,,,,,,,311,,100,OECD Development Assistance Committee 3 digit codes,DAC-3,,,,,
